                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1369,                 2.8068,                 2.4721,                0.14843,                0.33462,                0.13345,                0.05279,                 2.1842,                 2.2946,                  1.674,                0.00024,                0.00024,                0.00024
                      2,                 2.0262,                 1.8755,                 1.5799,                0.64815,                0.44231,                0.57125,                0.22589,                  2.066,                 1.5292,                 1.4849,             0.00048586,             0.00048586,             0.00048586
                      3,                 1.4358,                  1.106,                 1.2452,                0.92576,                0.74615,                0.90175,                0.50473,                 1.4934,                0.97774,                 1.1384,             0.00071701,             0.00071701,             0.00071701
                      4,                 1.2194,                0.84465,                   1.11,                0.96997,                   0.95,                0.98875,                0.67109,                 1.2969,                0.74214,                 1.0627,             0.00093345,             0.00093345,             0.00093345
                      5,                 1.0287,                0.73477,                 1.0317,                 0.9994,                0.98462,                0.99452,                0.80211,                 0.7306,                0.55403,                0.85039,              0.0011352,              0.0011352,              0.0011352
                      6,                0.88277,                0.62168,                0.96173,                      1,                0.99026,                  0.995,                0.80296,                0.76527,                0.49611,                0.85831,              0.0013222,              0.0013222,              0.0013222
                      7,                 0.8094,                0.56984,                0.93099,                 0.9976,                0.98846,                0.99496,                0.80775,                0.74834,                0.45168,                0.84442,              0.0014945,              0.0014945,              0.0014945
                      8,                0.74532,                0.50298,                0.89169,                0.99614,                0.99363,                0.99496,                0.83245,                0.71582,                0.43701,                0.83206,               0.001604,               0.001604,               0.001604
                      9,                0.71931,                0.47072,                0.87076,                0.99931,                0.99231,                  0.995,                0.87363,                 0.5892,                0.40584,                0.79399,               0.001604,               0.001604,               0.001604
                     10,                0.68237,                0.44419,                0.86727,                0.99923,                0.99231,                  0.995,                0.85523,                0.59057,                0.37366,                 0.8098,              0.0015474,              0.0015474,              0.0015474
                     11,                0.83164,                0.46673,                0.91451,                0.99615,                 0.9959,                  0.995,                0.80476,                0.75164,                  0.388,                0.84353,              0.0014909,              0.0014909,              0.0014909
                     12,                0.75681,                0.44827,                0.89718,                0.99616,                0.99902,                  0.995,                0.82389,                  0.714,                0.41093,                0.82812,              0.0014343,              0.0014343,              0.0014343
                     13,                0.70952,                0.43737,                0.88023,                 0.9994,                0.99231,                  0.995,                0.85533,                0.62415,                0.36988,                0.80434,              0.0013777,              0.0013777,              0.0013777
                     14,                 0.6094,                  0.386,                0.85314,                0.99942,                0.99615,                  0.995,                0.84656,                0.58723,                 0.3269,                 0.8034,              0.0013211,              0.0013211,              0.0013211
                     15,                0.56531,                0.36695,                0.84968,                0.99933,                      1,                  0.995,                0.89568,                0.46539,                0.31275,                0.77531,              0.0012646,              0.0012646,              0.0012646
                     16,                0.52334,                0.35007,                0.82936,                      1,                0.99987,                  0.995,                0.89206,                0.47941,                0.31684,                0.77363,               0.001208,               0.001208,               0.001208
                     17,                0.53275,                0.35289,                0.83656,                0.99578,                      1,                  0.995,                0.91293,                0.43741,                0.28942,                 0.7684,              0.0011514,              0.0011514,              0.0011514
                     18,                0.50362,                0.34615,                0.81861,                0.99936,                0.99615,                  0.995,                0.90732,                0.45055,                0.28881,                0.76453,              0.0010949,              0.0010949,              0.0010949
                     19,                0.49291,                0.33239,                0.82268,                0.99934,                      1,                  0.995,                0.89929,                0.45903,                0.29773,                0.76868,              0.0010383,              0.0010383,              0.0010383
                     20,                 0.4642,                0.32001,                0.82097,                0.99937,                      1,                  0.995,                0.92566,                0.42036,                0.26747,                0.76394,             0.00098171,             0.00098171,             0.00098171
                     21,                0.44127,                0.31221,                0.81903,                0.99945,                      1,                  0.995,                0.93922,                 0.4086,                0.27041,                0.76158,             0.00092514,             0.00092514,             0.00092514
                     22,                0.45575,                0.31251,                0.81412,                      1,                0.99963,                  0.995,                0.94128,                0.35615,                0.24241,                0.75451,             0.00086857,             0.00086857,             0.00086857
                     23,                0.41544,                0.28854,                0.80621,                      1,                0.99973,                  0.995,                0.95455,                0.32219,                0.23772,                0.75002,               0.000812,               0.000812,               0.000812
                     24,                0.41808,                0.29453,                 0.8138,                      1,                0.99985,                  0.995,                0.95658,                0.32205,                0.23706,                0.74917,             0.00075543,             0.00075543,             0.00075543
                     25,                 0.3965,                0.28906,                0.80649,                      1,                0.99995,                  0.995,                0.96612,                0.32773,                0.24109,                0.74995,             0.00069886,             0.00069886,             0.00069886
                     26,                 0.3796,                0.27515,                0.80327,                      1,                0.99986,                  0.995,                0.97516,                 0.2939,                0.23237,                0.74411,             0.00064229,             0.00064229,             0.00064229
                     27,                0.36846,                0.26636,                0.80605,                      1,                0.99985,                  0.995,                0.95302,                0.35925,                0.23832,                0.75063,             0.00058571,             0.00058571,             0.00058571
                     28,                0.37474,                 0.2703,                0.79218,                      1,                0.99982,                  0.995,                0.96148,                0.31182,                0.23221,                0.74581,             0.00052914,             0.00052914,             0.00052914
                     29,                0.36689,                0.26942,                0.78632,                      1,                0.99981,                  0.995,                0.96488,                0.30795,                0.22771,                0.74463,             0.00047257,             0.00047257,             0.00047257
                     30,                0.35404,                 0.2591,                0.79676,                      1,                0.99978,                  0.995,                0.97083,                0.28337,                0.21278,                0.74141,               0.000416,               0.000416,               0.000416
                     31,                0.34346,                0.25924,                0.79479,                      1,                0.99981,                  0.995,                0.97207,                0.26814,                0.20534,                0.74039,             0.00035943,             0.00035943,             0.00035943
                     32,                0.32302,                0.24411,                0.78993,                      1,                0.99982,                  0.995,                0.97246,                0.27222,                0.20388,                0.74126,             0.00030286,             0.00030286,             0.00030286
                     33,                0.32435,                0.24754,                 0.7858,                      1,                 0.9999,                  0.995,                0.97493,                0.28705,                0.20779,                0.74345,             0.00024629,             0.00024629,             0.00024629
                     34,                0.28924,                0.22852,                0.78316,                      1,                0.99991,                  0.995,                0.97757,                0.27068,                0.19759,                0.74161,             0.00018971,             0.00018971,             0.00018971
                     35,                0.29459,                0.23332,                0.78993,                      1,                0.99995,                  0.995,                0.98138,                0.25193,                0.19048,                0.73965,             0.00013314,             0.00013314,             0.00013314
